'RT @baneandlewis: Kat is in San Diego getting ready for the #MTVFandomAwards! #Shadowhunters \n(via kat.mcnamara on SC) https://t.co/qQABgmI\u2026',ready,1
'IsoHunt launches unofficial KAT mirror https://t.co/gvfzKc1qbQ',,0
'RT @kyn415: @JeffreeStar at 8:27 of the video you said you never told Kat to fuck off but you tweeted that you DID say that? https://t.co/\u2026',fuck,-1
